NAME,ACIDIC,BASIC,STATE_10,STATE_50,STATE_90
217385,4.76,,acidic,acidic,acidic
1166753,13.54,8.6,basic,basic,basic
139866,12.9,6.73,basic,neutral,neutral
1061805,16.7,4.07,neutral,neutral,neutral
1428120,11.93,-0.35,neutral,neutral,neutral
241842,8.76,-0.48,neutral,neutral,neutral
752123,,-2.81,neutral,neutral,neutral
1427797,11.24,-1.5,neutral,neutral,neutral
394231,4.85,-6.82,acidic,acidic,acidic
696002,4.23,-1.25,acidic,acidic,acidic
1519918,11.7,8.33,basic,basic,basic
182874,18.56,3.68,neutral,neutral,neutral
612061,,4.81,neutral,neutral,neutral
494743,7.9,-6.69,acidic,neutral,neutral
1274956,13.71,4.86,neutral,neutral,neutral
1420815,13.69,2.28,neutral,neutral,neutral
1355686,9.36,0.66,neutral,neutral,neutral
1298693,4.85,1.13,acidic,acidic,acidic
386457,9.76,6.19,basic,neutral,neutral
366420,18.43,-1.89,neutral,neutral,neutral
911894,12.96,-1.49,neutral,neutral,neutral
327606,15.86,8.66,basic,basic,basic
417874,12.76,7.57,basic,basic,neutral
417912,12.76,9.19,basic,basic,basic
674161,,10.12,basic,basic,basic
305169,10.28,9.32,basic,basic,basic
1519877,16.01,2.54,neutral,neutral,neutral
52087,12.81,-3.72,neutral,neutral,neutral
1179971,,4.41,neutral,neutral,neutral
132599,11.25,-7.11,neutral,neutral,neutral
346287,3.74,0.85,acidic,acidic,acidic
346691,13.37,6.61,basic,neutral,neutral
1177790,11.59,-2.32,neutral,neutral,neutral
1346112,5.47,7.49,zwiterionic,zwiterionic,acidic
1343304,14.22,7.6,basic,basic,neutral
361377,14.17,8.61,basic,basic,basic
1139832,13.66,4.59,neutral,neutral,neutral
894962,,-3.07,neutral,neutral,neutral
417910,12.76,9.19,basic,basic,basic
1275162,12.56,8.09,basic,basic,neutral
1071874,14.27,7.87,basic,basic,neutral
1423585,,5.27,neutral,neutral,neutral
686684,8.51,7.78,basic,basic,neutral
572901,16.58,6.48,basic,neutral,neutral
1354772,13.65,1.14,neutral,neutral,neutral
650126,12.49,8.81,basic,basic,basic
963028,10.22,2.1,neutral,neutral,neutral
514681,10.61,7.5,basic,basic,neutral
363080,11.53,9.26,basic,basic,basic
556955,11.67,1.83,neutral,neutral,neutral
1519901,16.32,2.32,neutral,neutral,neutral
1331892,,5.99,neutral,neutral,neutral
1520171,13.19,8.33,basic,basic,basic
31777,4.29,-0.74,acidic,acidic,acidic
424655,14.75,4.88,neutral,neutral,neutral
1361100,11.72,2.13,neutral,neutral,neutral
385672,9.91,2.54,neutral,neutral,neutral
17411,15.88,1.86,neutral,neutral,neutral
1520170,13.33,8.33,basic,basic,basic
245608,3.52,7.26,zwiterionic,acidic,acidic
1151697,19.66,3.74,neutral,neutral,neutral
757135,10.79,-1.4,neutral,neutral,neutral
453107,12.76,5.74,neutral,neutral,neutral
885329,18.79,0.62,neutral,neutral,neutral
330765,14.06,9.32,basic,basic,basic
684958,16.35,7.57,basic,basic,neutral
169526,18.63,4.83,neutral,neutral,neutral
490056,14.6,6.24,basic,neutral,neutral
1446428,11.5,4.42,neutral,neutral,neutral
417876,12.76,7.58,basic,basic,neutral
358926,16.1,8.37,basic,basic,basic
1519907,14.65,2.51,neutral,neutral,neutral
495617,16.28,7.18,basic,neutral,neutral
1268206,14.94,3.6,neutral,neutral,neutral
363085,12.53,9.12,basic,basic,basic
1346284,12.44,0.95,neutral,neutral,neutral
1146822,3.74,0.85,acidic,acidic,acidic
1525992,8.5,2.0,neutral,neutral,neutral
1343222,3.39,7.18,zwiterionic,acidic,acidic
340673,13.62,2.19,neutral,neutral,neutral
1159345,12.56,8.09,basic,basic,neutral
1331877,14.86,8.24,basic,basic,neutral
321594,12.16,7.74,basic,basic,neutral
737048,,5.47,neutral,neutral,neutral
909730,8.94,,neutral,neutral,neutral
490118,13.3,6.0,neutral,neutral,neutral
417884,12.76,7.58,basic,basic,neutral
1519925,13.18,8.33,basic,basic,basic
494987,8.05,-6.69,neutral,neutral,neutral
424654,14.75,4.88,neutral,neutral,neutral
1439166,4.74,0.87,acidic,acidic,acidic
1344542,13.57,9.53,basic,basic,basic
427771,11.94,8.93,basic,basic,basic
346509,3.74,0.85,acidic,acidic,acidic
363084,12.53,9.53,basic,basic,basic
417903,12.76,9.27,basic,basic,basic
558931,4.45,3.84,acidic,acidic,acidic
1275148,12.56,8.09,basic,basic,neutral
