NAME,ACIDIC,BASIC,STATE_10,STATE_50,STATE_90
1,12.54,9.82,basic,basic,basic
2,,9.16,basic,basic,basic
3,5.69,9.42,zwiterionic,zwiterionic,zwiterionic
4,5.69,8.73,zwiterionic,zwiterionic,zwiterionic
5,5.88,8.77,zwiterionic,zwiterionic,zwiterionic
6,11.95,8.3,basic,basic,basic
7,,9.2,basic,basic,basic
8,5.75,8.79,zwiterionic,zwiterionic,zwiterionic
9,,9.2,basic,basic,basic
10,9.88,5.84,neutral,neutral,neutral
11,9.88,5.84,neutral,neutral,neutral
12,10.35,9.17,basic,basic,basic
13,10.15,8.99,basic,basic,basic
14,9.88,5.84,neutral,neutral,neutral
15,10.35,9.17,basic,basic,basic
16,9.88,5.84,neutral,neutral,neutral
17,11.53,7.71,basic,basic,neutral
18,7.83,-0.47,acidic,neutral,neutral
19,11.68,1.09,neutral,neutral,neutral
20,11.11,0.23,neutral,neutral,neutral
21,10.11,-0.19,neutral,neutral,neutral
22,13.35,0.88,neutral,neutral,neutral
23,10.11,-0.19,neutral,neutral,neutral
24,13.35,0.88,neutral,neutral,neutral
25,11.21,8.17,basic,basic,neutral
26,14.47,10.05,basic,basic,basic
27,12.18,5.68,neutral,neutral,neutral
28,,8.73,basic,basic,basic
29,12.72,6.75,basic,neutral,neutral
30,,9.68,basic,basic,basic
31,,4.33,neutral,neutral,neutral
32,14.33,8.56,basic,basic,basic
33,7.17,5.96,acidic,acidic,neutral
34,10.15,8.99,basic,basic,basic
35,13.96,8.05,basic,basic,neutral
36,13.2,9.02,basic,basic,basic
37,14.74,9.0,basic,basic,basic
38,12.9,8.38,basic,basic,basic
39,14.58,8.24,basic,basic,neutral
40,4.04,9.01,zwiterionic,zwiterionic,zwiterionic
41,8.86,7.92,basic,basic,neutral
42,12.52,7.03,basic,neutral,neutral
43,12.86,8.18,basic,basic,neutral
44,14.21,5.63,neutral,neutral,neutral
45,,8.93,basic,basic,basic
46,4.32,-1.36,acidic,acidic,acidic
47,19.44,-6.63,neutral,neutral,neutral
48,10.15,8.99,basic,basic,basic
49,,4.33,neutral,neutral,neutral
50,10.27,8.72,basic,basic,basic
51,13.32,6.81,basic,neutral,neutral
52,,9.16,basic,basic,basic
53,14.03,8.74,basic,basic,basic
54,5.45,6.2,zwiterionic,acidic,acidic
55,14.47,10.05,basic,basic,basic
56,,10.58,basic,basic,basic
57,,9.78,basic,basic,basic
58,,8.73,basic,basic,basic
59,18.8,5.73,neutral,neutral,neutral
60,,8.85,basic,basic,basic
61,9.72,10.4,basic,basic,basic
62,12.54,9.82,basic,basic,basic
63,14.58,8.24,basic,basic,neutral
64,16.19,10.42,basic,basic,basic
65,5.45,6.2,zwiterionic,acidic,acidic
66,5.75,8.79,zwiterionic,zwiterionic,zwiterionic
67,,9.47,basic,basic,basic
68,13.96,8.05,basic,basic,neutral
69,14.21,5.63,neutral,neutral,neutral
70,15.28,2.94,neutral,neutral,neutral
71,13.79,9.46,basic,basic,basic
72,5.76,8.68,zwiterionic,zwiterionic,zwiterionic
73,15.9,7.35,basic,neutral,neutral
74,15.9,8.83,basic,basic,basic
75,,8.93,basic,basic,basic
76,,9.2,basic,basic,basic
77,,9.8,basic,basic,basic
78,,8.47,basic,basic,basic
79,11.95,8.3,basic,basic,basic
80,5.69,8.73,zwiterionic,zwiterionic,zwiterionic
81,13.2,9.02,basic,basic,basic
82,5.88,8.77,zwiterionic,zwiterionic,zwiterionic
83,7.17,5.96,acidic,acidic,neutral
84,17.33,7.16,basic,neutral,neutral
85,12.86,8.18,basic,basic,neutral
86,3.59,7.42,zwiterionic,zwiterionic,acidic
87,,8.87,basic,basic,basic
88,,6.42,basic,neutral,neutral
89,,9.68,basic,basic,basic
90,,10.02,basic,basic,basic
91,,8.76,basic,basic,basic
92,,8.73,basic,basic,basic
93,,8.58,basic,basic,basic
94,12.9,8.38,basic,basic,basic
95,14.33,8.56,basic,basic,basic
96,12.46,8.38,basic,basic,basic
97,5.69,9.42,zwiterionic,zwiterionic,zwiterionic
98,19.47,-6.64,neutral,neutral,neutral
99,12.72,6.75,basic,neutral,neutral
100,19.36,8.19,basic,basic,neutral
101,,9.63,basic,basic,basic
102,,9.76,basic,basic,basic
103,,9.63,basic,basic,basic
104,,8.77,basic,basic,basic
105,16.13,7.34,basic,neutral,neutral
106,13.89,9.05,basic,basic,basic
107,13.17,7.24,basic,neutral,neutral
108,13.68,9.62,basic,basic,basic
109,12.21,7.09,basic,neutral,neutral
110,12.18,5.68,neutral,neutral,neutral
111,8.86,7.92,basic,basic,neutral
112,,9.2,basic,basic,basic
113,,9.98,basic,basic,basic
114,12.46,8.38,basic,basic,basic
115,14.33,8.56,basic,basic,basic
116,14.36,8.58,basic,basic,basic
117,,,neutral,neutral,neutral
118,14.24,7.94,basic,basic,neutral
119,,,neutral,neutral,neutral
120,14.17,8.64,basic,basic,basic
121,14.58,8.24,basic,basic,neutral
122,,9.68,basic,basic,basic
123,4.06,8.56,zwiterionic,zwiterionic,zwiterionic
124,13.2,9.02,basic,basic,basic
125,14.27,8.67,basic,basic,basic
126,14.12,-3.18,neutral,neutral,neutral
127,4.64,8.56,zwiterionic,zwiterionic,zwiterionic
128,10.15,8.99,basic,basic,basic
129,15.64,-7.54,neutral,neutral,neutral
130,,,neutral,neutral,neutral
131,14.53,-3.0,neutral,neutral,neutral
132,,,neutral,neutral,neutral
133,,8.78,basic,basic,basic
134,16.55,-7.59,neutral,neutral,neutral
135,4.04,9.01,zwiterionic,zwiterionic,zwiterionic
136,14.86,-2.86,neutral,neutral,neutral
137,13.96,8.05,basic,basic,neutral
138,14.33,8.6,basic,basic,basic
139,,,neutral,neutral,neutral
140,14.33,8.56,basic,basic,basic
141,10.39,9.1,basic,basic,basic
142,13.18,9.01,basic,basic,basic
143,14.33,8.56,basic,basic,basic
144,,10.02,basic,basic,basic
145,14.33,8.56,basic,basic,basic
146,12.9,8.38,basic,basic,basic
147,14.58,8.24,basic,basic,neutral
148,14.33,8.56,basic,basic,basic
149,5.88,8.77,zwiterionic,zwiterionic,zwiterionic
150,12.9,8.38,basic,basic,basic
151,,8.73,basic,basic,basic
152,13.2,9.02,basic,basic,basic
153,,8.93,basic,basic,basic
154,,8.85,basic,basic,basic
155,12.21,7.09,basic,neutral,neutral
156,,9.76,basic,basic,basic
157,,9.98,basic,basic,basic
158,,10.58,basic,basic,basic
159,15.9,7.35,basic,neutral,neutral
160,,8.76,basic,basic,basic
161,14.33,8.56,basic,basic,basic
162,1.91,10.83,zwiterionic,zwiterionic,zwiterionic
163,1.91,10.82,zwiterionic,zwiterionic,zwiterionic
164,14.43,7.93,basic,basic,neutral
165,14.38,7.89,basic,basic,neutral
166,9.35,9.95,basic,basic,basic
167,3.6,8.19,zwiterionic,zwiterionic,acidic
168,4.07,8.91,zwiterionic,zwiterionic,zwiterionic
169,13.38,8.81,basic,basic,basic
170,3.6,8.77,zwiterionic,zwiterionic,zwiterionic
171,3.6,8.64,zwiterionic,zwiterionic,zwiterionic
172,14.02,8.81,basic,basic,basic
173,4.0,8.06,zwiterionic,zwiterionic,acidic
174,,8.06,basic,basic,neutral
175,8.59,7.83,basic,basic,neutral
176,5.93,8.06,zwiterionic,zwiterionic,acidic
177,13.23,-3.57,neutral,neutral,neutral
178,15.28,2.94,neutral,neutral,neutral
179,12.45,8.38,basic,basic,basic
180,9.19,9.83,basic,basic,basic
181,14.09,9.12,basic,basic,basic
182,12.46,8.38,basic,basic,basic
183,3.59,7.42,zwiterionic,zwiterionic,acidic
184,8.49,-9.05,neutral,neutral,neutral
185,7.14,,acidic,acidic,neutral
186,,8.95,basic,basic,basic
187,,8.73,basic,basic,basic
188,9.93,7.94,basic,basic,neutral
189,,10.55,basic,basic,basic
190,9.72,10.4,basic,basic,basic
191,,9.2,basic,basic,basic
192,8.86,7.92,basic,basic,neutral
193,,9.63,basic,basic,basic
194,10.15,8.99,basic,basic,basic
195,13.2,9.02,basic,basic,basic
196,,,neutral,neutral,neutral
197,14.08,8.05,basic,basic,neutral
198,,8.76,basic,basic,basic
199,14.03,8.74,basic,basic,basic
200,11.95,8.3,basic,basic,basic
201,,9.16,basic,basic,basic
202,,10.62,basic,basic,basic
203,14.09,9.63,basic,basic,basic
204,10.72,8.97,basic,basic,basic
205,,9.47,basic,basic,basic
206,,8.76,basic,basic,basic
207,12.54,9.82,basic,basic,basic
208,9.08,9.79,basic,basic,basic
209,13.35,0.88,neutral,neutral,neutral
210,,9.71,basic,basic,basic
211,,10.41,basic,basic,basic
212,15.59,8.31,basic,basic,basic
213,11.53,8.77,basic,basic,basic
214,16.19,10.42,basic,basic,basic
215,,6.33,basic,neutral,neutral
216,8.93,8.33,basic,basic,basic
217,19.44,-6.64,neutral,neutral,neutral
218,13.73,9.04,basic,basic,basic
219,19.44,-6.63,neutral,neutral,neutral
220,7.48,,acidic,neutral,neutral
221,14.47,10.05,basic,basic,basic
222,,9.27,basic,basic,basic
223,13.7,10.03,basic,basic,basic
224,13.96,8.05,basic,basic,neutral
225,12.9,8.38,basic,basic,basic
226,11.99,9.31,basic,basic,basic
227,,10.32,basic,basic,basic
228,13.79,9.46,basic,basic,basic
229,,9.68,basic,basic,basic
230,7.83,-0.47,acidic,neutral,neutral
231,14.1,9.78,basic,basic,basic
232,,9.2,basic,basic,basic
233,3.69,9.2,zwiterionic,zwiterionic,zwiterionic
234,13.63,9.28,basic,basic,basic
235,13.63,9.2,basic,basic,basic
236,14.09,9.5,basic,basic,basic
237,,1.64,neutral,neutral,neutral
238,,8.7,basic,basic,basic
239,,8.7,basic,basic,basic
240,,9.1,basic,basic,basic
241,,1.64,neutral,neutral,neutral
242,,8.73,basic,basic,basic
243,10.15,8.99,basic,basic,basic
244,14.33,8.56,basic,basic,basic
245,9.72,10.4,basic,basic,basic
246,13.78,7.76,basic,basic,neutral
247,10.28,11.01,basic,basic,basic
248,8.86,7.92,basic,basic,neutral
249,13.96,8.05,basic,basic,neutral
250,12.72,6.75,basic,neutral,neutral
251,14.58,8.24,basic,basic,neutral
252,12.9,8.38,basic,basic,basic
253,12.21,7.09,basic,neutral,neutral
254,,9.68,basic,basic,basic
255,,8.79,basic,basic,basic
256,12.52,7.03,basic,neutral,neutral
257,,4.33,neutral,neutral,neutral
258,13.17,7.24,basic,neutral,neutral
259,,8.93,basic,basic,basic
260,13.2,9.02,basic,basic,basic
261,14.47,10.05,basic,basic,basic
262,,9.63,basic,basic,basic
263,13.89,9.05,basic,basic,basic
264,,8.16,basic,basic,neutral
265,15.9,7.35,basic,neutral,neutral
266,14.21,5.63,neutral,neutral,neutral
267,19.36,8.19,basic,basic,neutral
268,,9.16,basic,basic,basic
269,16.13,7.34,basic,neutral,neutral
270,,10.02,basic,basic,basic
271,11.95,8.3,basic,basic,basic
272,12.54,9.82,basic,basic,basic
273,,9.2,basic,basic,basic
274,,9.8,basic,basic,basic
275,,7.24,basic,neutral,neutral
276,,8.77,basic,basic,basic
277,,6.42,basic,neutral,neutral
278,,9.87,basic,basic,basic
279,16.64,8.43,basic,basic,basic
280,13.32,6.81,basic,neutral,neutral
281,7.17,5.96,acidic,acidic,neutral
282,,9.2,basic,basic,basic
283,14.74,9.0,basic,basic,basic
284,13.68,9.62,basic,basic,basic
285,,9.78,basic,basic,basic
286,13.79,9.46,basic,basic,basic
287,,8.85,basic,basic,basic
288,10.42,9.63,basic,basic,basic
289,19.79,9.12,basic,basic,basic
290,19.47,-6.64,neutral,neutral,neutral
291,,8.47,basic,basic,basic
292,,9.76,basic,basic,basic
293,14.03,8.74,basic,basic,basic
294,12.18,5.68,neutral,neutral,neutral
295,12.86,8.18,basic,basic,neutral
296,5.75,8.79,zwiterionic,zwiterionic,zwiterionic
297,,9.47,basic,basic,basic
298,,8.87,basic,basic,basic
299,3.59,7.42,zwiterionic,zwiterionic,acidic
300,5.88,8.77,zwiterionic,zwiterionic,zwiterionic
301,19.44,-6.63,neutral,neutral,neutral
302,,9.64,basic,basic,basic
303,12.46,8.38,basic,basic,basic
304,16.19,10.42,basic,basic,basic
305,,8.77,basic,basic,basic
306,5.69,9.42,zwiterionic,zwiterionic,zwiterionic
307,5.69,8.73,zwiterionic,zwiterionic,zwiterionic
308,15.75,9.04,basic,basic,basic
309,,8.58,basic,basic,basic
310,13.78,9.19,basic,basic,basic
311,5.45,6.2,zwiterionic,acidic,acidic
312,5.76,8.68,zwiterionic,zwiterionic,zwiterionic
313,10.26,9.12,basic,basic,basic
314,5.45,6.2,zwiterionic,acidic,acidic
315,,9.76,basic,basic,basic
316,,8.73,basic,basic,basic
317,11.95,8.3,basic,basic,basic
318,,9.16,basic,basic,basic
319,12.86,8.18,basic,basic,neutral
320,12.18,5.68,neutral,neutral,neutral
321,12.52,7.03,basic,neutral,neutral
322,12.72,6.75,basic,neutral,neutral
323,4.04,9.01,zwiterionic,zwiterionic,zwiterionic
324,5.69,8.73,zwiterionic,zwiterionic,zwiterionic
325,5.88,8.77,zwiterionic,zwiterionic,zwiterionic
326,14.47,10.05,basic,basic,basic
327,13.96,8.05,basic,basic,neutral
328,12.54,9.82,basic,basic,basic
329,5.69,9.42,zwiterionic,zwiterionic,zwiterionic
330,,9.98,basic,basic,basic
331,12.9,8.38,basic,basic,basic
332,,8.76,basic,basic,basic
333,14.33,8.56,basic,basic,basic
334,5.75,8.79,zwiterionic,zwiterionic,zwiterionic
335,,9.68,basic,basic,basic
336,,9.2,basic,basic,basic
337,14.58,8.24,basic,basic,neutral
338,15.9,7.35,basic,neutral,neutral
339,,8.85,basic,basic,basic
340,14.74,9.0,basic,basic,basic
341,,9.2,basic,basic,basic
342,14.21,5.63,neutral,neutral,neutral
343,,10.58,basic,basic,basic
344,13.2,9.02,basic,basic,basic
345,,8.93,basic,basic,basic
346,12.21,7.09,basic,neutral,neutral
347,7.63,-1.57,acidic,neutral,neutral
348,19.89,7.93,basic,basic,neutral
349,9.48,8.64,basic,basic,basic
350,11.25,8.06,basic,basic,neutral
351,15.05,8.06,basic,basic,neutral
352,,8.05,basic,basic,neutral
353,,8.06,basic,basic,neutral
354,14.83,-2.87,neutral,neutral,neutral
355,13.66,-3.08,neutral,neutral,neutral
356,16.59,-3.11,neutral,neutral,neutral
357,,10.03,basic,basic,basic
358,12.92,-3.71,neutral,neutral,neutral
359,13.09,-2.76,neutral,neutral,neutral
360,,8.23,basic,basic,neutral
361,,8.49,basic,basic,basic
362,,8.51,basic,basic,basic
363,,9.18,basic,basic,basic
364,,9.77,basic,basic,basic
365,,-0.71,neutral,neutral,neutral
366,,8.49,basic,basic,basic
367,9.39,-0.39,neutral,neutral,neutral
368,9.3,10.12,basic,basic,basic
369,9.39,-1.7,neutral,neutral,neutral
370,9.39,-1.77,neutral,neutral,neutral
371,9.39,-3.78,neutral,neutral,neutral
372,9.39,-3.71,neutral,neutral,neutral
373,9.44,8.44,basic,basic,basic
374,9.44,8.45,basic,basic,basic
375,4.0,-2.57,acidic,acidic,acidic
376,14.02,4.82,neutral,neutral,neutral
377,14.02,-0.51,neutral,neutral,neutral
378,9.94,3.3,neutral,neutral,neutral
379,,9.59,basic,basic,basic
380,,9.29,basic,basic,basic
381,,9.61,basic,basic,basic
382,,8.74,basic,basic,basic
383,14.0,7.05,basic,neutral,neutral
384,13.75,7.05,basic,neutral,neutral
385,13.89,7.05,basic,neutral,neutral
386,13.89,7.05,basic,neutral,neutral
387,13.86,7.05,basic,neutral,neutral
388,14.2,7.05,basic,neutral,neutral
389,13.86,7.05,basic,neutral,neutral
390,6.38,7.15,zwiterionic,acidic,acidic
391,13.88,7.05,basic,neutral,neutral
392,13.63,7.05,basic,neutral,neutral
393,13.84,7.05,basic,neutral,neutral
394,13.63,7.05,basic,neutral,neutral
395,14.08,7.05,basic,neutral,neutral
396,13.64,7.05,basic,neutral,neutral
397,14.26,7.88,basic,basic,neutral
398,13.85,6.96,basic,neutral,neutral
399,13.93,7.57,basic,basic,neutral
400,14.09,6.78,basic,neutral,neutral
401,13.79,6.77,basic,neutral,neutral
402,13.78,6.59,basic,neutral,neutral
403,13.94,7.1,basic,neutral,neutral
404,14.07,7.46,basic,basic,neutral
405,14.06,7.42,basic,basic,neutral
406,13.9,7.08,basic,neutral,neutral
407,13.64,6.29,basic,neutral,neutral
408,13.89,7.05,basic,neutral,neutral
409,13.97,-2.95,neutral,neutral,neutral
410,13.97,-2.95,neutral,neutral,neutral
411,13.97,-2.95,neutral,neutral,neutral
412,13.97,-2.95,neutral,neutral,neutral
413,15.08,7.82,basic,basic,neutral
414,,7.96,basic,basic,neutral
415,15.56,-2.55,neutral,neutral,neutral
416,14.96,-1.99,neutral,neutral,neutral
417,,5.68,neutral,neutral,neutral
418,13.99,3.27,neutral,neutral,neutral
419,13.62,-0.26,neutral,neutral,neutral
420,,7.88,basic,basic,neutral
421,,7.64,basic,basic,neutral
422,,9.73,basic,basic,basic
423,11.54,8.99,basic,basic,basic
424,11.55,9.52,basic,basic,basic
425,11.53,9.12,basic,basic,basic
426,12.53,9.26,basic,basic,basic
427,13.88,7.05,basic,neutral,neutral
428,13.95,7.45,basic,basic,neutral
429,13.96,7.48,basic,basic,neutral
430,13.95,7.45,basic,basic,neutral
431,13.95,7.45,basic,basic,neutral
432,9.56,7.54,basic,basic,neutral
433,11.73,7.37,basic,neutral,neutral
434,14.08,7.73,basic,basic,neutral
435,14.08,7.73,basic,basic,neutral
436,14.08,7.73,basic,basic,neutral
437,,9.37,basic,basic,basic
438,,9.37,basic,basic,basic
439,,9.37,basic,basic,basic
440,,9.37,basic,basic,basic
441,,9.37,basic,basic,basic
442,,8.13,basic,basic,neutral
443,,6.75,basic,neutral,neutral
444,,6.94,basic,neutral,neutral
445,,6.64,basic,neutral,neutral
446,,6.43,basic,neutral,neutral
447,,7.01,basic,neutral,neutral
448,14.9,7.15,basic,neutral,neutral
449,13.89,7.05,basic,neutral,neutral
450,14.08,7.47,basic,basic,neutral
451,14.28,7.53,basic,basic,neutral
452,14.3,7.87,basic,basic,neutral
453,14.3,7.86,basic,basic,neutral
454,13.97,7.25,basic,neutral,neutral
455,13.97,7.25,basic,neutral,neutral
456,13.97,7.27,basic,neutral,neutral
457,9.46,7.14,basic,neutral,neutral
458,13.84,6.9,basic,neutral,neutral
459,11.58,6.96,basic,neutral,neutral
460,13.68,7.51,basic,basic,neutral
461,14.08,7.44,basic,basic,neutral
462,14.0,7.28,basic,neutral,neutral
463,13.93,7.57,basic,basic,neutral
464,13.93,7.31,basic,neutral,neutral
465,,8.82,basic,basic,basic
466,,8.82,basic,basic,basic
467,,8.82,basic,basic,basic
468,,8.82,basic,basic,basic
469,,8.82,basic,basic,basic
470,,8.82,basic,basic,basic
471,,8.82,basic,basic,basic
472,,8.82,basic,basic,basic
473,,7.2,basic,neutral,neutral
474,,7.92,basic,basic,neutral
475,15.82,6.84,basic,neutral,neutral
476,5.88,8.77,zwiterionic,zwiterionic,zwiterionic
477,13.2,9.02,basic,basic,basic
478,4.04,9.01,zwiterionic,zwiterionic,zwiterionic
479,3.59,7.42,zwiterionic,zwiterionic,acidic
480,,8.83,basic,basic,basic
481,8.48,7.81,basic,basic,neutral
482,8.48,7.83,basic,basic,neutral
483,8.48,7.81,basic,basic,neutral
484,8.48,7.81,basic,basic,neutral
485,8.48,7.81,basic,basic,neutral
486,8.48,7.81,basic,basic,neutral
487,8.48,7.81,basic,basic,neutral
488,8.48,7.81,basic,basic,neutral
489,8.48,7.81,basic,basic,neutral
490,8.48,7.81,basic,basic,neutral
491,8.48,7.81,basic,basic,neutral
492,8.48,7.81,basic,basic,neutral
493,8.48,7.81,basic,basic,neutral
494,8.48,7.81,basic,basic,neutral
495,8.47,7.81,basic,basic,neutral
496,8.48,7.81,basic,basic,neutral
497,8.48,7.81,basic,basic,neutral
498,8.32,2.24,neutral,neutral,neutral
499,8.39,7.71,basic,basic,neutral
500,7.7,8.68,zwiterionic,basic,basic
501,7.59,9.97,zwiterionic,basic,basic
502,7.99,9.51,basic,basic,basic
503,8.31,6.95,basic,neutral,neutral
504,8.29,6.36,basic,neutral,neutral
505,8.29,6.36,basic,neutral,neutral
506,7.61,6.68,zwiterionic,neutral,neutral
507,8.29,6.41,basic,neutral,neutral
508,8.01,2.27,neutral,neutral,neutral
509,8.0,2.27,neutral,neutral,neutral
510,7.14,6.36,zwiterionic,acidic,neutral
511,7.01,2.46,acidic,acidic,neutral
512,7.01,2.25,acidic,acidic,neutral
513,7.01,2.44,acidic,acidic,neutral
514,8.48,7.81,basic,basic,neutral
515,8.48,7.81,basic,basic,neutral
516,8.47,7.79,basic,basic,neutral
517,7.01,2.44,acidic,acidic,neutral
518,7.02,2.43,acidic,acidic,neutral
519,9.28,7.05,basic,neutral,neutral
520,,9.37,basic,basic,basic
521,,9.37,basic,basic,basic
522,,9.37,basic,basic,basic
523,10.15,8.99,basic,basic,basic
524,-1.78,9.45,zwiterionic,zwiterionic,zwiterionic
525,10.11,-3.3,neutral,neutral,neutral
526,,9.48,basic,basic,basic
527,,9.48,basic,basic,basic
528,,7.78,basic,basic,neutral
529,,7.58,basic,basic,neutral
530,,9.48,basic,basic,basic
531,,9.48,basic,basic,basic
532,,9.48,basic,basic,basic
533,15.11,8.75,basic,basic,basic
534,,9.58,basic,basic,basic
535,,8.94,basic,basic,basic
536,,8.92,basic,basic,basic
537,,8.94,basic,basic,basic
538,,9.31,basic,basic,basic
539,,9.34,basic,basic,basic
540,,9.34,basic,basic,basic
541,,9.34,basic,basic,basic
542,,9.26,basic,basic,basic
543,,9.27,basic,basic,basic
544,,9.26,basic,basic,basic
545,,9.27,basic,basic,basic
546,,9.27,basic,basic,basic
547,,9.27,basic,basic,basic
548,,9.27,basic,basic,basic
549,,9.27,basic,basic,basic
550,,9.24,basic,basic,basic
551,,9.28,basic,basic,basic
552,,9.27,basic,basic,basic
553,,9.27,basic,basic,basic
554,,9.27,basic,basic,basic
555,,9.27,basic,basic,basic
556,,9.26,basic,basic,basic
557,,9.27,basic,basic,basic
558,,9.26,basic,basic,basic
559,,9.27,basic,basic,basic
560,,9.25,basic,basic,basic
561,,9.27,basic,basic,basic
562,,9.27,basic,basic,basic
563,,9.27,basic,basic,basic
564,,9.27,basic,basic,basic
565,,9.27,basic,basic,basic
566,,9.27,basic,basic,basic
567,,9.21,basic,basic,basic
568,16.03,9.21,basic,basic,basic
569,13.2,9.21,basic,basic,basic
570,,9.2,basic,basic,basic
571,,9.21,basic,basic,basic
572,14.8,7.74,basic,basic,neutral
573,,9.27,basic,basic,basic
574,,7.29,basic,neutral,neutral
575,10.26,-1.1,neutral,neutral,neutral
576,8.38,-1.1,neutral,neutral,neutral
577,10.37,-1.1,neutral,neutral,neutral
578,9.47,-1.1,neutral,neutral,neutral
579,10.26,7.58,basic,basic,neutral
580,10.26,3.13,neutral,neutral,neutral
581,10.26,4.57,neutral,neutral,neutral
582,10.26,4.93,neutral,neutral,neutral
583,8.61,4.63,neutral,neutral,neutral
584,9.67,9.03,basic,basic,basic
585,9.47,-1.2,neutral,neutral,neutral
586,13.46,8.21,basic,basic,neutral
587,18.09,6.95,basic,neutral,neutral
588,15.82,8.49,basic,basic,basic
589,18.09,6.94,basic,neutral,neutral
590,,8.06,basic,basic,neutral
591,18.91,7.39,basic,neutral,neutral
592,14.15,5.83,neutral,neutral,neutral
593,14.3,9.25,basic,basic,basic
594,14.3,9.57,basic,basic,basic
595,14.3,9.57,basic,basic,basic
596,14.3,9.57,basic,basic,basic
597,14.3,9.57,basic,basic,basic
598,14.3,9.57,basic,basic,basic
599,14.3,9.57,basic,basic,basic
600,14.3,9.57,basic,basic,basic
601,14.3,9.11,basic,basic,basic
602,14.3,9.11,basic,basic,basic
603,14.3,9.11,basic,basic,basic
604,14.3,9.11,basic,basic,basic
605,14.3,9.11,basic,basic,basic
606,14.3,9.11,basic,basic,basic
607,14.3,9.11,basic,basic,basic
608,14.3,9.11,basic,basic,basic
609,14.3,9.11,basic,basic,basic
