canonical_smiles,molregno,standard_relation,standard_value,standard_units
CC(C)COc1ccc(cc1C#N)c2nc(C)c(s2)C(=O)O,647206,<,3.000000000000000000000000000000,mL.min-1.g-1
OC(c1ccc(cc1)N(CC(F)(F)F)S(=O)(=O)c2ccccc2)(C(F)(F)F)C(F)(F)F,92776,<,3.000000000000000000000000000000,mL.min-1.g-1
OC(=O)CCc1oc(c2ccccc2)c(n1)c3ccccc3,139225,<,3.000000000000000000000000000000,mL.min-1.g-1
Cc1cc(C)nc(SCC(=O)N)n1,950646,<,3.000000000000000000000000000000,mL.min-1.g-1
CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc4cccnc24)CC1,6772,<,3.000000000000000000000000000000,mL.min-1.g-1
CC(=O)Nc1ccc(O)cc1,16450,<,3.000000000000000000000000000000,mL.min-1.g-1
COc1cc(cc(OC)c1O)C(=O)OCCCCNC(=N)N,716698,<,3.000000000000000000000000000000,mL.min-1.g-1
CNCCC(Oc1ccccc1OC)c2ccccc2,66246,<,3.000000000000000000000000000000,mL.min-1.g-1
[O-][n+]1cc(ccc1Cl)C(=O)Nc2ccc(F)cc2,91844,<,3.000000000000000000000000000000,mL.min-1.g-1
COc1cc(NC(C)CCCN)c2ncccc2c1,10389,<,3.000000000000000000000000000000,mL.min-1.g-1
CC(C)(C)NS(=O)(=O)c1cncc(c1)c2ccc3nc(N)nn3c2,1355685,<,3.000000000000000000000000000000,mL.min-1.g-1
CNC(=O)Nc1nc2ccc(cn2n1)c3cncc(c3)S(=O)(=O)NC(C)(C)C,1355686,<,3.000000000000000000000000000000,mL.min-1.g-1
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,1216,<,3.000000000000000000000000000000,mL.min-1.g-1
CCN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)NCc4ccc(cc4)S(=O)(=O)C,305178,<,3.000000000000000000000000000000,mL.min-1.g-1
C[C@@H](C(=O)NCCN1CCCC1)c2ccc(OS(=O)(=O)C(F)(F)F)cc2,319861,<,3.000000000000000000000000000000,mL.min-1.g-1
CS(=O)(=O)c1ccc2C(=CNC(=O)c2c1)C(=O)NC[C@@H](O)CN3CCC(CC3)Oc4ccc(C#N)c(Cl)c4,1447317,<,3.000000000000000000000000000000,mL.min-1.g-1
OC(=O)[C@@H](Cc1ccccc1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,1425376,<,3.000000000000000000000000000000,mL.min-1.g-1
OC(=O)c1ccccc1CN2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,1425371,<,3.000000000000000000000000000000,mL.min-1.g-1
COc1ccnc(CCc2nc3c(C)ccnc3[nH]2)c1,1161593,<,3.000000000000000000000000000000,mL.min-1.g-1
CC(C)c1nnc2ccc(cn12)c3ocnc3c4cc(F)ccc4F,355839,<,3.000000000000000000000000000000,mL.min-1.g-1
Clc1ccc(OC2CCN(CC2)C3CCN(CC3)C(=O)NS(=O)(=O)c4ccccc4)cc1Cl,1430523,<,3.000000000000000000000000000000,mL.min-1.g-1
CCOc1ccc(NC(=O)CCc2c(C)nc3nc(C)nn3c2C)cc1,823458,<,3.000000000000000000000000000000,mL.min-1.g-1
OC(=O)[C@H](N1CCC(CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3)CC1)c4ccccc4,1425361,<,3.000000000000000000000000000000,mL.min-1.g-1
Clc1ccc2ncc(c3cccc(NC4CNC4)n3)n2c1,426902,<,3.000000000000000000000000000000,mL.min-1.g-1
Cc1cc(Cl)ccc1OC2CCN(C[C@H](O)CNC(=O)C3=CNC(=O)C=C3C(F)(F)F)CC2,1447310,<,3.000000000000000000000000000000,mL.min-1.g-1
C[C@@H](C(=O)N)c1ccc(OS(=O)(=O)C(F)(F)F)cc1,319860,<,3.000000000000000000000000000000,mL.min-1.g-1
C[C@H](NC(=O)c1c(C)nn(C2CCN(CC(F)(F)F)CC2)c1NS(=O)(=O)c3ccc(C)cc3)C(C)(C)C,1271889,<,3.000000000000000000000000000000,mL.min-1.g-1
CCc1nc2c(N)nc3ccccc3c2n1CC(C)C,321990,<,3.000000000000000000000000000000,mL.min-1.g-1
Cc1ccccc1S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1430528,<,3.000000000000000000000000000000,mL.min-1.g-1
NC(=NC#N)c1sc(Nc2ccccc2)nc1N,588090,<,3.000000000000000000000000000000,mL.min-1.g-1
Fc1cc(cc(F)c1CN2CCOCC2)c3cccc4ncc(nc34)c5cnn(c5)C6CCNCC6,620820,<,3.000000000000000000000000000000,mL.min-1.g-1
OC(=O)C(N1CCC(CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3)CC1)c4ccccc4,1425359,<,3.000000000000000000000000000000,mL.min-1.g-1
Cc1c(Cl)ccc(OC2CCN(C[C@H](O)CNC(=O)C3=CNC(=O)c4ccc(cc34)S(=O)(=O)C)CC2)c1Cl,1446926,<,3.000000000000000000000000000000,mL.min-1.g-1
CC(C)(O)c1ccc(Nc2nc3ccc(cc3[nH]2)C#N)cc1,1361775,<,3.000000000000000000000000000000,mL.min-1.g-1
CS(=O)(=O)c1ccc(cc1)c2cc(ccc2OCC(=O)O)C(F)(F)F,1147085,<,3.000000000000000000000000000000,mL.min-1.g-1
CS(=O)(=O)c1ccc(nc1)c2nnc(\C=C\c3oc(nn3)c4ccc(cc4)C#N)n2c5ccccc5Cl,1519682,<,3.000000000000000000000000000000,mL.min-1.g-1
Cc1ccc2c(c1)c(c(C)n2CC(=O)O)c3ccnc4c(cccc34)S(=O)(=O)C,355089,<,3.000000000000000000000000000000,mL.min-1.g-1
CCc1ccc(OCC(=O)O)c(c1)c2ccc(cc2)S(=O)(=O)C,1147108,<,3.000000000000000000000000000000,mL.min-1.g-1
OC(=O)c1cccc(c1)C(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1430514,<,3.000000000000000000000000000000,mL.min-1.g-1
CC(=O)Nc1cccc2c1c(c(C)n2CC(=O)O)S(=O)(=O)c3ccc(Cl)cc3,1264916,<,3.000000000000000000000000000000,mL.min-1.g-1
CCS(=O)(=O)c1ccc(c(C)c1)c2cc(ccc2O[C@@H](C)C(=O)O)C(F)(F)F,1147114,<,3.000000000000000000000000000000,mL.min-1.g-1
COc1ccccc1S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1430530,<,3.000000000000000000000000000000,mL.min-1.g-1
Cc1c(Oc2ccc(Cl)cc2)c3c(NS(=O)(=O)C)cccc3n1CC(=O)O,1264923,<,3.000000000000000000000000000000,mL.min-1.g-1
Cc1cc(Cl)ccc1OC2CCN(C[C@H](O)CNC(=O)c3c[nH]nc3C(F)(F)F)CC2,1447306,<,3.000000000000000000000000000000,mL.min-1.g-1
OC(=O)Cc1cccc(c1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,1425366,<,3.000000000000000000000000000000,mL.min-1.g-1
Clc1ccc(OC2CCN(CC2)C3CCN(CC3)C(=O)NS(=O)(=O)c4ccccc4Cl)cc1Cl,1430529,<,3.000000000000000000000000000000,mL.min-1.g-1
c1ccc(cc1)c2[nH]nc3ccccc23,145212,<,3.000000000000000000000000000000,mL.min-1.g-1
OC(=O)COc1ccc(cc1c2cc(ccc2F)C#N)C(F)(F)F,1147099,<,3.000000000000000000000000000000,mL.min-1.g-1
CCS(=O)(=O)c1ccc(cc1)c2cc(Cl)ccc2OCC(=O)O,1147106,<,3.000000000000000000000000000000,mL.min-1.g-1
CCS(=O)(=O)c1ccc(c(C)c1)c2cc(ccc2CCC(=O)O)C(F)(F)F,1147117,<,3.000000000000000000000000000000,mL.min-1.g-1
C[C@H](Oc1ccc(Cl)cc1CN2CCN([C@@H](C)C2)C(=O)Cc3ccc(Cl)cc3)C(=O)O,1077545,<,3.000000000000000000000000000000,mL.min-1.g-1
O[C@H](CNC(=O)c1c[nH]nc1C(F)(F)F)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3,1447305,<,3.000000000000000000000000000000,mL.min-1.g-1
OC(=O)Cc1ccc(cc1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,1425367,<,3.000000000000000000000000000000,mL.min-1.g-1
O[C@H](CNC(=O)c1c[nH]c2ccccc12)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1448084,<,3.000000000000000000000000000000,mL.min-1.g-1
O[C@H](CNC(=O)C1=CC(=O)Nc2ccccc12)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1448088,<,3.000000000000000000000000000000,mL.min-1.g-1
Cc1ccc2c(c1)c(c(C)n2CC(=O)O)c3ccnc4c(cccc34)C#N,355090,<,3.000000000000000000000000000000,mL.min-1.g-1
Cc1c(CC(=O)O)c2cc(F)ccc2n1Cc3nc4ccccc4s3,1442637,<,3.000000000000000000000000000000,mL.min-1.g-1
NS(=O)(=O)NC(=O)CCCc1c([nH]c2ccc(cc12)C#N)c3ccc(F)cc3,424727,<,3.000000000000000000000000000000,mL.min-1.g-1
OC(=O)COc1cccc(c1)C(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1430512,<,3.000000000000000000000000000000,mL.min-1.g-1
CS(=O)(=O)NC(=O)CCCc1c([nH]c2ccc(cc12)C#N)c3ccc(F)cc3,424702,<,3.000000000000000000000000000000,mL.min-1.g-1
Cc1c(Sc2ccc(Cl)cc2)c3cc(ccc3n1CC(=O)O)S(=O)(=O)C,1264897,<,3.000000000000000000000000000000,mL.min-1.g-1
COc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1430526,<,3.000000000000000000000000000000,mL.min-1.g-1
Cc1ccc2c(c1)c(c(C)n2CC(=O)O)c3ccnc4c(F)cccc34,355064,<,3.000000000000000000000000000000,mL.min-1.g-1
C[C@H](CO)Nc1nc(SCc2csc(C)n2)nc3NC(=O)Sc13,437554,<,3.000000000000000000000000000000,mL.min-1.g-1
Cc1ccc2c(c1)c(Sc3ccc(cc3)S(=O)(=O)C)c(C)n2CC(=O)O,1264910,<,3.000000000000000000000000000000,mL.min-1.g-1
OC(=O)Cc1ccccc1N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,1425365,<,3.000000000000000000000000000000,mL.min-1.g-1
CC(C)NC(=O)c1ccc2c(Nc3ccc(Cl)cc3)nc(nc2c1)N4CCOCC4,159210,<,3.000000000000000000000000000000,mL.min-1.g-1
Cc1c(c2cc(F)ccc2n1CC(=O)O)S(=O)(=O)c3ccc(Cl)cc3,1264914,<,3.000000000000000000000000000000,mL.min-1.g-1
OC(=O)COc1ccc(cc1c2ccccc2)[N+](=O)[O-],1147076,<,3.000000000000000000000000000000,mL.min-1.g-1
Cc1ccc2c(c1)c(c(C)n2CC(=O)O)c3ccnc4cc(ccc34)C(F)(F)F,355494,<,3.000000000000000000000000000000,mL.min-1.g-1
