NAME,ACIDIC,BASIC,STATE_10,STATE_50,STATE_90
647206,3.59,0.4,acidic,acidic,acidic
92776,7.45,-6.1,acidic,neutral,neutral
139225,4.95,-0.59,acidic,acidic,acidic
950646,15.28,3.44,neutral,neutral,neutral
6772,14.78,7.2,basic,neutral,neutral
16450,9.46,-4.36,neutral,neutral,neutral
716698,8.42,12.07,basic,basic,basic
66246,,9.8,basic,basic,basic
91844,13.22,-4.74,neutral,neutral,neutral
10389,17.11,10.2,basic,basic,basic
1355685,9.37,2.7,neutral,neutral,neutral
1355686,9.36,0.66,neutral,neutral,neutral
1216,17.33,7.16,basic,neutral,neutral
305178,14.72,9.37,basic,basic,basic
319861,14.55,8.44,basic,basic,basic
1447317,11.51,8.1,basic,basic,neutral
1425376,1.79,10.59,zwiterionic,zwiterionic,zwiterionic
1425371,3.2,9.72,zwiterionic,zwiterionic,zwiterionic
1161593,12.28,6.93,basic,neutral,neutral
355839,,2.54,neutral,neutral,neutral
1430523,4.28,8.84,zwiterionic,zwiterionic,zwiterionic
823458,14.76,0.69,neutral,neutral,neutral
1425361,1.61,9.97,zwiterionic,zwiterionic,zwiterionic
426902,19.21,9.09,basic,basic,basic
1447310,10.5,8.16,basic,basic,neutral
319860,14.59,-2.5,neutral,neutral,neutral
1271889,3.96,3.05,acidic,acidic,acidic
321990,,4.95,neutral,neutral,neutral
1430528,4.28,8.84,zwiterionic,zwiterionic,zwiterionic
588090,13.12,2.58,neutral,neutral,neutral
620820,,10.12,basic,basic,basic
1425359,1.61,9.97,zwiterionic,zwiterionic,zwiterionic
1446926,11.45,8.09,basic,basic,neutral
1361775,11.08,7.19,basic,neutral,neutral
1147085,3.45,-4.91,acidic,acidic,acidic
1519682,19.6,0.92,neutral,neutral,neutral
355089,4.04,0.07,acidic,acidic,acidic
1147108,3.56,-4.9,acidic,acidic,acidic
1430514,3.86,8.86,zwiterionic,zwiterionic,zwiterionic
1264916,3.3,-4.45,acidic,acidic,acidic
1147114,3.62,-4.93,acidic,acidic,acidic
